excerpt,classification
"Sinatra is a Domain Specific Language (DSL) for quickly creating web applications in Ruby with minimal effort. It is an alternative to other Ruby web application frameworks such as Ruby on Rails, Nitro, Camping, and Rango.",0
GitLab is an Open Source Git repository manager with issue tracking and wiki as well as continuous integration features. ,2
"Talend is an open source integration vendor that provides software for data integration, data quality, master data management, big data, business process management and service-oriented architecture. ",2
MemSQL is a high-performance distributed relational database that uses the MySQL protocol ,1
"Clojure is a modern Lisp dialect for the Java Virtual Machine (with versions for the CLR and JavaScript). More than merely an implementation of Lisp in Java, Clojure provides access to Java's classes and ecosystem.",0
Gremlin is a graph traversal language of Apache TinkerPop ,0
"Dapper is a micro-ORM for .NET developed and used by the Stack Overflow team, focusing on raw performance as the primary aim.",0
"OpenAM is an open source access management, entitlements and federation server platform. ",1
"DO NOT use this tag unless you are addressing Apple's iPhone and/or iPod touch specifically. For questions not dependent on hardware, use the tag ""iOS"". Another tag to consider is ""cocoa-touch"" (but not ""cocoa""). Please refrain from questions regarding the iTunes App Store or about iTunes Connect. If using C#, tag with mono. ",1
"An annotation-based Android view ""injection"" framework aimed at reducing boilerplate. ",0
"Cloud computing is about hardware-based services involving computing, network and storage capacities. These services are provided on-demand, hosted by the cloud provider and can easily scale up and down.",1
"PowerShell is a component of Microsoft Windows with a command-line shell and a scripting environment. Many Windows components and Microsoft products expose management interfaces to PowerShell, making it particularly suited to system administration and automation tasks. It is a modern day successor to VBScript and batch files.",2
A version of the C# and VB compilers that is written in managed code. ,2
"Serverspec provides ruby RSpec tests for checking your servers are configured correctly. It tests the servers actual state by executing commands locally, via SSH, WinRM or Docker API. ",2
"An enterprise service bus (ESB) is a software architecture construct which provides fundamental services for complex architectures via an event-driven and standards-based messaging engine (the bus). Developers typically implement an ESB using technologies found in a category of middleware infrastructure products, usually based on recognized standards. ",2
"npm is the official package manager for Node.js, the non-blocking, asynchronous I/O framework that uses Google's V8 JavaScript engine. It can be used to install and publish CommonJS modules, jQuery plugins, reusable javascript code (libraries) and JavaScript-based CLI programs.",0
"Cylon.js is a JavaScript framework for robotics, physical computing, and the Internet of Things. It makes it incredibly easy to command robots and devices.",0
ASP.NET Web API is a framework for building HTTP services for clients like browsers and mobile devices. It is based on the Microsoft .NET Framework and ideal choice for building RESTful services.,0
Consul is a tool for discovering and configuring services in the infrastructure.,2
Facebook Platform lets developers integrate their apps directly into the Facebook social networking service. Use this tag for questions which may arise when developing FOR Facebook. This tag is NOT for support questions about using the Facebook website or the official Facebook app. It is also NOT for questions of the  I want to implement a feature similar to what Facebook has  variety. ,1
"Zepto.js is a minimalist JavaScript framework for modern browsers, with a jQuery-compatible syntax.",1
"Gulp is a JavaScript build system, node.js-based task runner like Grunt. Gulp uses streams and code-over-configuration for a simpler and more intuitive build process. ",2
NEventStore (aka JOliver EventStore to disambiguate it from geteventstore.com which launched later) is a persistence library used to abstract different storage implementations when using event sourcing as a storage mechanism. Event sourcing is most closely associated with a concept known as CQRS. ,1
"ECMAScript is the name of the Ecma International Standard 262. It is based on the scripting language JavaScript which was delivered by Netscape to Ecma for standardization. The 5th Edition is an update of the 3rd edition specification after the cancellation of the 4th edition. It adds new features including strict mode, getters and setters, a JSON object, and new methods for Object, Array, Date, and Function prototypes. ",0
Grunt is a task-based command line build tool and task runner for JavaScript projects. ,2
LambdaJ is a library to manipulate a collections without any iterations.,0
Rancher is an open source project that provides a complete platform for operating Docker in production. ,1
A clojure/clojurescript library for asynchronous programming. ,0
"Puppet is a ruby-based Configuration Management system incorporating a model-driven DSL. Its purpose is to provide configuration file enforcement, service state monitoring, package installation and other server-side management. ",2
"ESP8266 is a highly integrated chip designed for the needs of an increasingly connected world. It offers a complete and self-contained Wi-Fi networking solution, allowing it to either host applications or offload all Wi-Fi networking functions from another application processor. The most important aspect is the price of the chip. ",1
"R is a free, open-source programming language and software environment for statistical computing, bioinformatics, and graphics. Please supplement your question with a minimal reproducible example. For statistical questions please use http://stats.stackexchange.com.",0
"JavaScript (not to be confused with Java) is a dynamic, weakly-typed language used for client-side as well as server-side scripting. Use this tag for questions regarding ECMAScript and its various dialects/implementations (excluding ActionScript and Google-Apps-Script). Unless another tag for a framework/library is also included, a pure JavaScript answer is expected. ",0
"The Pentaho BI Suite is an open source Business Intelligence suite with integrated reporting, dashboard, data mining, workflow and ETL capabilities. It is primarily written in Java.",2
Functional Java is is an open source library to learn and implement functional programming concepts in Java. ,0
"Dart is a class-based, optionally-typed programming language for building web and command-line applications. Dart compiles to modern JavaScript to run on the client and runs natively on the Dart VM for server-side apps. ",0
Git is an open-source distributed version control system (DVCS). ,2
"MongoDB is a scalable, high-performance, open source, document-oriented NOSQL database. It supports a large number of languages and application development platforms. Questions about server administration can be asked on http://dba.stackexchange.com.",1
"A rich Internet application (RIA) is a Web application that has many of the characteristics of desktop application software, typically delivered by way of a site-specific browser, a browser plug-in, an independent sandbox, extensive use of JavaScript, or a virtual machine.",1
Chef is an open source systems integration framework from Chef (formerly Opscode) that allows you to describe the configuration of systems and infrastructure in code. It brings the benefits of configuration management to your entire infrastructure. ,2
"AppHarbor is a cloud application platform for .NET. Applications can be deployed to AppHarbor using Git, Mercurial, Subversion or TFS. A large number of services (relational and no-sql databases, email, error logging) are offered as add-ons. ",1
"JRuby is an open-source Java implementation of the Ruby programming language. It is Ruby for the JVM. Using idiomatic Ruby syntax, JRuby can consume Java classes and libraries with ease.",1
"Rust is a systems programming language focused on three goals:safety, speed, and concurrency. It maintains these goals without needing a garbage collector, making it a useful language for a number of use cases other languages aren't good at:embedding in other languages, programs with specific space and time requirements, and writing low-level code, like device drivers and operating systems. ",0
Docker provides a high-level API to containerize unix processes and applications with some degree of isolation and repeatability across servers. ,2
Axon is a Java application framework for implementing software using the CQRS principles. ,0
"HTML5 (Hyper Text Markup Language, version 5) is an umbrella term for recent web technologies. It is also the latest iteration of HTML. It became a W3C Recommendation in October 2014, introducing new elements and APIs.  ",0
"C# 4.0 introduced features like dynamic objects, COM interoperability improvements, generic co- and contra-variance, optional and named parameters. ",0
"Nancy is a lightweight web framework for the .Net platform, inspired by Sinatra. Nancy aims to deliver a low ceremony approach to building light, fast web applications.",0
